level=1
ball=458.274622,392.636319,1.858098,-3.492240
paddle=242.564032,700
blocks=96
74,50,3,0
119,50,3,0
164,50,3,0
209,50,3,0
254,50,3,0
299,50,3,0
344,50,3,0
389,50,3,0
434,50,3,0
479,50,3,0
524,50,3,0
569,50,3,0
74,75,3,0
119,75,3,0
164,75,3,0
209,75,3,0
254,75,3,0
299,75,3,0
344,75,3,0
389,75,3,0
434,75,3,0
479,75,3,0
524,75,3,0
569,75,3,0
74,100,2,0
119,100,2,0
164,100,2,0
209,100,2,0
254,100,2,0
299,100,2,0
344,100,2,0
389,100,2,0
434,100,2,0
479,100,2,0
524,100,2,0
569,100,2,0
74,125,2,0
119,125,2,0
164,125,2,0
209,125,2,0
254,125,2,0
299,125,2,0
344,125,2,0
389,125,2,0
434,125,2,0
479,125,2,0
524,125,2,0
569,125,2,0
74,150,1,0
119,150,1,0
164,150,1,0
209,150,1,0
254,150,1,0
299,150,1,0
344,150,1,0
389,150,1,0
434,150,1,0
479,150,1,0
524,150,1,0
569,150,1,0
74,175,1,0
119,175,1,0
164,175,1,0
209,175,1,0
254,175,1,0
299,175,1,0
344,175,1,0
389,175,1,0
434,175,1,0
479,175,1,0
524,175,1,0
569,175,1,0
74,200,1,0
119,200,1,0
164,200,1,0
209,200,1,0
254,200,1,0
299,200,1,0
344,200,1,0
389,200,1,0
434,200,1,0
479,200,1,0
524,200,1,0
569,200,1,0
74,225,1,0
119,225,0,1
164,225,1,0
209,225,0,1
254,225,0,1
299,225,0,1
344,225,0,1
389,225,0,1
434,225,0,1
479,225,0,1
524,225,1,0
569,225,0,1
